ID,SKU,Name,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 visible","Attribute 4 global","Attribute 5 name","Attribute 5 value(s)","Attribute 5 visible","Attribute 5 global","Attribute 6 name","Attribute 6 value(s)","Attribute 6 visible","Attribute 6 global","Attribute 7 name","Attribute 7 value(s)","Attribute 7 visible","Attribute 7 global","Attribute 8 name","Attribute 8 value(s)","Attribute 8 visible","Attribute 8 global","Attribute 9 name","Attribute 9 value(s)","Attribute 9 visible","Attribute 9 global","Attribute 10 name","Attribute 10 value(s)","Attribute 10 visible","Attribute 10 global","Attribute 11 name","Attribute 11 value(s)","Attribute 11 visible","Attribute 11 global","Attribute 12 name","Attribute 12 value(s)","Attribute 12 visible","Attribute 12 global"
6145,CDM-7716FA,"Étui de violon Rapsody Elegance rectangular 4/4",Instrument,Violon,1,1,Marque,Rapsody,1,1,Modèle,Elegance,1,1,"Type produit",Étui,1,1,Taille,4/4,1,1,Couleur,"Bordeaux, Noir",1,0,Matière,,0,0,Poids,,0,0,Forme,Rectangulaire,1,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
6146,CDM-963046,"Étui de violon Artist Dynamic Rocket avec poche partitions 4/4",Instrument,Violon,1,1,Marque,Artist,1,1,Modèle,"Dynamic Rocket",1,1,"Type produit",Étui,1,1,Taille,4/4,1,1,Couleur,"Blanc, Bleu, Bleu ciel, Noir, Rouge grenat",1,0,Matière,"Fibre de carbone, Polycarbonate",1,0,Poids,,0,0,Forme,"Rocket, Avec poche partitions, Finition 3D",1,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
6147,CDM-D26898,"Étui de violoncelle Artist Dynamic 4/4",Instrument,Violoncelle,1,1,Marque,Artist,1,1,Modèle,Dynamic,1,1,"Type produit",Étui,1,1,Taille,4/4,1,1,Couleur,"Aluminium brossé, Blanc, Bleu, Bleu ciel, Noir, Rouge",1,0,Matière,"Fibre de carbone, Polycarbonate, Aluminium",1,0,Poids,"4,2 kg",1,0,Forme,"Avec poche partitions, Finition 3D",1,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
6148,CDM-78CFE1,"Étui de contrebasse Artist Dynamic",Instrument,Contrebasse,1,1,Marque,Artist,1,1,Modèle,Dynamic,1,1,"Type produit",Étui,1,1,Taille,,0,1,Couleur,"Aluminium brossé, Noir",1,0,Matière,"Fibre de carbone, Polycarbonate, Aluminium",1,0,Poids,"14,5 kg",1,0,Forme,"Avec roues, Finition 3D",1,0,"Capacité archets",,0,0,Roulettes,Oui,1,0,Variante,,0,0
6150,CDM-1EC559,"Colophane violoncelle Wiedoeft",Instrument,Violoncelle,1,1,Marque,Wiedoeft,1,1,Modèle,,0,1,"Type produit",Colophane,1,1,Taille,,0,1,Couleur,,0,0,Matière,,0,0,Poids,,0,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,Forme,1,0
6153,CDM-68CAA4,"Colophane alto Wiedoeft",Instrument,Alto,1,1,Marque,Wiedoeft,1,1,Modèle,,0,1,"Type produit",Colophane,1,1,Taille,,0,1,Couleur,,0,0,Matière,,0,0,Poids,,0,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,Forme,1,0
6156,CDM-A34193,"Colophane violon Wiedoeft",Instrument,Violon,1,1,Marque,Wiedoeft,1,1,Modèle,,0,1,"Type produit",Colophane,1,1,Taille,,0,1,Couleur,,0,0,Matière,,0,0,Poids,,0,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,Forme,1,0
6159,CDM-643D82,"Étui pour 2 archets contrebasse Rapsody 250",Instrument,Contrebasse,1,1,Marque,Rapsody,1,1,Modèle,250,1,1,"Type produit","Étui pour archet",1,1,Taille,,0,1,Couleur,,0,0,Matière,,0,0,Poids,,0,0,Forme,,0,0,"Capacité archets",2,1,0,Roulettes,,0,0,Variante,,0,0
6164,CDM-70956F,"Étui de violon Rapsody Elegance rectangular 4/4 Navy blue bleu marino 4/4",Instrument,Violon,1,1,Marque,Rapsody,1,1,Modèle,Elegance,1,1,"Type produit",Étui,1,1,Taille,4/4,1,1,Couleur,Bleu,1,0,Matière,,0,0,Poids,,0,0,Forme,Rectangulaire,1,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
6176,CDM-F6BF9F,"Étui violon Rapsody Elegance Rectangular 3/4 Noir",Instrument,Violon,1,1,Marque,Rapsody,1,1,Modèle,Elegance,1,1,"Type produit",Étui,1,1,Taille,3/4,1,1,Couleur,Noir,1,0,Matière,,0,0,Poids,"1,6 kg",1,0,Forme,Rectangulaire,1,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
6180,CDM-89106C,"Étui pour 6 archets violon/alto/violoncelle Rapsody CSW006 4/4",Instrument,"Violon, Alto, Violoncelle",1,1,Marque,Rapsody,1,1,Modèle,CSW006,1,1,"Type produit","Étui pour archet",1,1,Taille,4/4,1,1,Couleur,,0,0,Matière,,0,0,Poids,,0,0,Forme,,0,0,"Capacité archets",6,1,0,Roulettes,,0,0,Variante,,0,0
6186,CDM-0FD02D,"Étui de violon Artist Dynamic Rocket avec poche partitions 4/4 Aluminium brossé",Instrument,Violon,1,1,Marque,Artist,1,1,Modèle,"Dynamic Rocket",1,1,"Type produit",Étui,1,1,Taille,4/4,1,1,Couleur,"Aluminium brossé",1,0,Matière,"Fibre de carbone, Polycarbonate, Aluminium",1,0,Poids,,0,0,Forme,"Rocket, Avec poche partitions, Finition 3D",1,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
6270,CDM-944468,"Colophane violoncelle Hidersine Deluxe 6CX",Instrument,Violoncelle,1,1,Marque,Hidersine,1,1,Modèle,"Deluxe 6CX",1,1,"Type produit",Colophane,1,1,Taille,,0,1,Couleur,,0,0,Matière,,0,0,Poids,"30 g",1,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
6273,CDM-E8B4A6,"Colophane violon Hidersine Deluxe 6VX",Instrument,Violon,1,1,Marque,Hidersine,1,1,Modèle,"Deluxe 6VX",1,1,"Type produit",Colophane,1,1,Taille,,0,1,Couleur,,0,0,Matière,,0,0,Poids,"30 g",1,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
6277,CDM-A99247,"Sourdine pour violon/alto Alpine Mute Artist",Instrument,"Violon, Alto",1,1,Marque,"Alpine Mute",1,1,Modèle,Artist,1,1,"Type produit",Sourdine,1,1,Taille,,0,1,Couleur,,0,0,Matière,,0,0,Poids,,0,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
6279,CDM-74234A,"Colophane violoncelle Petz Wooden box",Instrument,Violoncelle,1,1,Marque,Petz,1,1,Modèle,"Wooden box",1,1,"Type produit",Colophane,1,1,Taille,,0,1,Couleur,,0,0,Matière,Bois,1,0,Poids,,0,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
6282,CDM-9AACBB,"Colophane violon/alto Petz Wooden box",Instrument,"Violon, Alto",1,1,Marque,Petz,1,1,Modèle,"Wooden box",1,1,"Type produit",Colophane,1,1,Taille,,0,1,Couleur,,0,0,Matière,Bois,1,0,Poids,,0,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
6285,CDM-91536A,"Colophane violoncelle Petz Solist hard",Instrument,Violoncelle,1,1,Marque,Petz,1,1,Modèle,"Solist hard",1,1,"Type produit",Colophane,1,1,Taille,,0,1,Couleur,,0,0,Matière,,0,0,Poids,,0,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
6288,CDM-5A2D0C,"Colophane contrebasse Petz Bass Hard",Instrument,Contrebasse,1,1,Marque,Petz,1,1,Modèle,"Bass Hard",1,1,"Type produit",Colophane,1,1,Taille,,0,1,Couleur,,0,0,Matière,,0,0,Poids,,0,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,Forme,1,0
6291,CDM-8E48BC,"Colophane contrebasse Petz Bass Medium",Instrument,Contrebasse,1,1,Marque,Petz,1,1,Modèle,"Bass Medium",1,1,"Type produit",Colophane,1,1,Taille,,0,1,Couleur,,0,0,Matière,,0,0,Poids,,0,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,Forme,1,0
6294,CDM-4C7579,"Colophane contrebasse Petz Bass Soft",Instrument,Contrebasse,1,1,Marque,Petz,1,1,Modèle,"Bass Soft",1,1,"Type produit",Colophane,1,1,Taille,,0,1,Couleur,,0,0,Matière,,0,0,Poids,,0,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,Forme,1,0
6297,CDM-F16822,"Sourdine pour alto WMutes Duo Pack Matte black noire mate",Instrument,"Violon, Alto",1,1,Marque,WMutes,1,1,Modèle,"Duo Pack",1,1,"Type produit",Sourdine,1,1,Taille,,0,1,Couleur,Noir,1,0,Matière,Bois,1,0,Poids,,0,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
6300,CDM-DFE88E,"Étui de violon Rapsody Compact 4/4 /black bleu/noire",Instrument,Violon,1,1,Marque,Rapsody,1,1,Modèle,"Compact / /noire",1,1,"Type produit",Étui,1,1,Taille,4/4,1,1,Couleur,"Noir, Bleu",1,0,Matière,,0,0,Poids,"1,75 kg",1,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
6306,CDM-FEBBC4,"Étui de violon Rapsody Compact 4/4 /black Burdeos/noire",Instrument,Violon,1,1,Marque,Rapsody,1,1,Modèle,"Compact / Burdeos/noire",1,1,"Type produit",Étui,1,1,Taille,4/4,1,1,Couleur,"Noir, Bordeaux",1,0,Matière,,0,0,Poids,"1,75 kg",1,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
6311,CDM-A17795,"Sourdine pour contrebasse Tourte 2 trous",Instrument,Contrebasse,1,1,Marque,Tourte,1,1,Modèle,"2 trous",1,1,"Type produit",Sourdine,1,1,Taille,,0,1,Couleur,,0,0,Matière,Caoutchouc,1,0,Poids,,0,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
6313,CDM-EF412F,"Sourdine pour violoncelle Ultra",Instrument,Violoncelle,1,1,Marque,Ultra,1,1,Modèle,Ultra,1,1,"Type produit",Sourdine,1,1,Taille,,0,1,Couleur,,0,0,Matière,Caoutchouc,1,0,Poids,,0,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
6314,CDM-B69AB9,"Étui de violoncelle Artist Ultralight 4/4",Instrument,Violoncelle,1,1,Marque,Artist,1,1,Modèle,Ultralight,1,1,"Type produit",Étui,1,1,Taille,4/4,1,1,Couleur,"Aluminium brossé, Claire, Blanc, Claire, Bleu, Claire, Lilas, Claire, Noir, Claire, Rouge, Claire, Turquoise, Claire",1,0,Matière,"Fibre de carbone, Aluminium, Cuir",1,0,Poids,"2,7 kg",1,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
6316,CDM-0D038C,"Colophane violon/alto Thomastik Dominant",Instrument,"Violon, Alto",1,1,Marque,Thomastik,1,1,Modèle,Dominant,1,1,"Type produit",Colophane,1,1,Taille,,0,1,Couleur,,0,0,Matière,,0,0,Poids,,0,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
6318,CDM-2BA5E3,"Colophane violon/alto Pirastro Schwartz",Instrument,"Violon, Alto",1,1,Marque,Pirastro,1,1,Modèle,Schwartz,1,1,"Type produit",Colophane,1,1,Taille,,0,1,Couleur,,0,0,Matière,Acier,1,0,Poids,,0,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
6381,CDM-1BFD86,"Étui de violoncelle Artist Ultralight 4/4 Lavender Lavanda",Instrument,Violoncelle,1,1,Marque,Artist,1,1,Modèle,Ultralight,1,1,"Type produit",Étui,1,1,Taille,4/4,1,1,Couleur,Claire,1,0,Matière,"Fibre de carbone, Aluminium, Cuir",1,0,Poids,"2,7 kg",1,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
6388,CDM-07C5C0,"Colophane violon/alto/violoncelle Corelli Gustave Bernardel",Instrument,"Violon, Alto, Violoncelle",1,1,Marque,Corelli,1,1,Modèle,"Gustave Bernardel",1,1,"Type produit",Colophane,1,1,Taille,,0,1,Couleur,,0,0,Matière,,0,0,Poids,,0,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
6392,CDM-1D329B,"Pâte pour chevilles Pirastro Peg Compound",Instrument,,0,1,Marque,Pirastro,1,1,Modèle,"Peg Compound",1,1,"Type produit",Entretien,1,1,Taille,,0,1,Couleur,,0,0,Matière,,0,0,Poids,,0,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
6394,CDM-E2729A,"Étui pour 24 archets violon/alto/violoncelle Rapsody CSW024",Instrument,"Violon, Alto, Violoncelle",1,1,Marque,Rapsody,1,1,Modèle,CSW024,1,1,"Type produit","Étui pour archet",1,1,Taille,,0,1,Couleur,,0,0,Matière,,0,0,Poids,,0,0,Forme,,0,0,"Capacité archets",24,1,0,Roulettes,,0,0,Variante,,0,0
6400,CDM-3A2495,"Housse violoncelle Rapsody ACTB 1/2",Instrument,Violoncelle,1,1,Marque,Rapsody,1,1,Modèle,ACTB,1,1,"Type produit",Housse,1,1,Taille,"1/2, 7/8",1,1,Couleur,,0,0,Matière,Plastique,1,0,Poids,,0,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
6402,CDM-36CB7B,"Housse violoncelle Rapsody ACTB 1/4",Instrument,Violoncelle,1,1,Marque,Rapsody,1,1,Modèle,ACTB,1,1,"Type produit",Housse,1,1,Taille,"1/4, 7/8",1,1,Couleur,,0,0,Matière,Plastique,1,0,Poids,,0,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
6404,CDM-B5AEA7,"Colophane contrebasse Super-Sensitive Clarity verano 9252",Instrument,Contrebasse,1,1,Marque,Super-Sensitive,1,1,Modèle,"Clarity verano 9252",1,1,"Type produit",Colophane,1,1,Taille,,0,1,Couleur,,0,0,Matière,,0,0,Poids,,0,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
6406,CDM-0CE200,"Étui de violon Rapsody Rocket Cabina 4/4",Instrument,Violon,1,1,Marque,Rapsody,1,1,Modèle,Rocket,1,1,"Type produit",Étui,1,1,Taille,4/4,1,1,Couleur,"Blanc, Noir, Turquoise",1,0,Matière,,0,0,Poids,"1,5 kg",1,0,Forme,"Forme, Rocket, Finition 3D",1,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
