ID,SKU,Name,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 visible","Attribute 4 global","Attribute 5 name","Attribute 5 value(s)","Attribute 5 visible","Attribute 5 global","Attribute 6 name","Attribute 6 value(s)","Attribute 6 visible","Attribute 6 global","Attribute 7 name","Attribute 7 value(s)","Attribute 7 visible","Attribute 7 global","Attribute 8 name","Attribute 8 value(s)","Attribute 8 visible","Attribute 8 global","Attribute 9 name","Attribute 9 value(s)","Attribute 9 visible","Attribute 9 global","Attribute 10 name","Attribute 10 value(s)","Attribute 10 visible","Attribute 10 global","Attribute 11 name","Attribute 11 value(s)","Attribute 11 visible","Attribute 11 global","Attribute 12 name","Attribute 12 value(s)","Attribute 12 visible","Attribute 12 global","Attribute 13 name","Attribute 13 value(s)","Attribute 13 visible","Attribute 13 global","Attribute 14 name","Attribute 14 value(s)","Attribute 14 visible","Attribute 14 global","Attribute 15 name","Attribute 15 value(s)","Attribute 15 visible","Attribute 15 global","Attribute 16 name","Attribute 16 value(s)","Attribute 16 visible","Attribute 16 global","Attribute 17 name","Attribute 17 value(s)","Attribute 17 visible","Attribute 17 global","Attribute 18 name","Attribute 18 value(s)","Attribute 18 visible","Attribute 18 global","Attribute 19 name","Attribute 19 value(s)","Attribute 19 visible","Attribute 19 global","Attribute 20 name","Attribute 20 value(s)","Attribute 20 visible","Attribute 20 global"
5623,CDM-4D140D,"D'Addario Helicore – Boule – Medium",Modèle,Helicore,1,1,Instrument,Violon,1,1,Corde,jeu,1,1,Taille,"3/4, 4/4",1,1,Tension,Medium,1,1,Attache,Boule,1,1,"Profil sonore",équilibré,1,1,Complexité,équilibré,1,1,Puissance,puissant,1,1,Réponse,rapide,1,1,Usage,orchestre,1,1,Positionnement,intermédiaire,1,1,Durabilité,élevée,1,1,Stabilité,excellente,1,1,"Temps de rodage",court,1,1,,,,,,,,,,,,,,,,,,,,
5662,CDM-C509C6,"D'Addario Helicore – Medium",Modèle,Helicore,1,1,Instrument,Alto,1,1,Corde,jeu,1,1,Tension,Medium,1,1,"Profil sonore",équilibré,1,1,Complexité,équilibré,1,1,Puissance,puissant,1,1,Réponse,rapide,1,1,Usage,orchestre,1,1,Positionnement,intermédiaire,1,1,Durabilité,élevée,1,1,Stabilité,excellente,1,1,"Temps de rodage",court,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5663,CDM-09DBDB,"D'Addario Helicore – Medium",Modèle,Helicore,1,1,Instrument,Alto,1,1,Corde,jeu,1,1,Tension,Medium,1,1,"Profil sonore",équilibré,1,1,Complexité,équilibré,1,1,Puissance,puissant,1,1,Réponse,rapide,1,1,Usage,orchestre,1,1,Positionnement,intermédiaire,1,1,Durabilité,élevée,1,1,Stabilité,excellente,1,1,"Temps de rodage",court,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5664,CDM-FA3F43,"D'Addario Helicore – Medium",Modèle,Helicore,1,1,Instrument,Alto,1,1,Corde,jeu,1,1,Tension,Medium,1,1,"Profil sonore",équilibré,1,1,Complexité,équilibré,1,1,Puissance,puissant,1,1,Réponse,rapide,1,1,Usage,orchestre,1,1,Positionnement,intermédiaire,1,1,Durabilité,élevée,1,1,Stabilité,excellente,1,1,"Temps de rodage",court,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5890,CDM-55B55A,"D'Addario Helicore – Medium – 4/4",Modèle,Helicore,1,1,Instrument,Violoncelle,1,1,Corde,jeu,1,1,Taille,4/4,1,1,Tension,Medium,1,1,"Profil sonore",équilibré,1,1,Complexité,équilibré,1,1,Puissance,puissant,1,1,Réponse,rapide,1,1,Usage,orchestre,1,1,Positionnement,intermédiaire,1,1,Durabilité,élevée,1,1,Stabilité,excellente,1,1,"Temps de rodage",court,1,1,,,,,,,,,,,,,,,,,,,,,,,,
5502,CDM-F8E763,"D'Addario Helicore Orchestral – Medium",Modèle,"Helicore Orchestral",1,1,Instrument,Contrebasse,1,1,Corde,jeu,1,1,Taille,"1/2, 3/4",1,1,Tension,Medium,1,1,"Profil sonore",chaud,1,1,Complexité,équilibré,1,1,Puissance,modéré,1,1,Réponse,rapide,1,1,Usage,orchestre,1,1,Positionnement,intermédiaire,1,1,Durabilité,élevée,1,1,Stabilité,excellente,1,1,"Temps de rodage",court,1,1,,,,,,,,,,,,,,,,,,,,,,,,
5755,CDM-37C0E8,"D'Addario Kaplan – Medium – 3/4",Modèle,Kaplan,1,1,Instrument,Contrebasse,1,1,Corde,jeu,1,1,Taille,3/4,1,1,Tension,Medium,1,1,"Profil sonore",équilibré,1,1,Complexité,équilibré,1,1,Puissance,modéré,1,1,Réponse,rapide,1,1,Usage,"étudiant, intermédiaire",1,1,Positionnement,intermédiaire,1,1,Durabilité,élevée,1,1,Stabilité,excellente,1,1,"Temps de rodage",court,1,1,,,,,,,,,,,,,,,,,,,,,,,,
5828,CDM-A4AE71,"D'Addario Kaplan Amo – Light – 4/4",Modèle,"Kaplan Amo",1,1,Instrument,Violon,1,1,Corde,jeu,1,1,Taille,4/4,1,1,Tension,Light,1,1,"Profil sonore",chaud,1,1,Complexité,complexe,1,1,Puissance,puissant,1,1,Réponse,rapide,1,1,Usage,soliste,1,1,Positionnement,premium,1,1,Durabilité,élevée,1,1,Stabilité,excellente,1,1,"Temps de rodage",court,1,1,,,,,,,,,,,,,,,,,,,,,,,,
5624,CDM-5E8866,"D'Addario Kaplan Amo – Medium",Modèle,"Kaplan Amo",1,1,Instrument,Violon,1,1,Corde,jeu,1,1,Taille,"3/4, 4/4",1,1,Tension,Medium,1,1,"Profil sonore",chaud,1,1,Complexité,complexe,1,1,Puissance,puissant,1,1,Réponse,rapide,1,1,Usage,soliste,1,1,Positionnement,premium,1,1,Durabilité,élevée,1,1,Stabilité,excellente,1,1,"Temps de rodage",court,1,1,,,,,,,,,,,,,,,,,,,,,,,,
5830,CDM-AEE720,"D'Addario Kaplan Amo Heavy – 4/4",Modèle,"Kaplan Amo Heavy",1,1,Instrument,Violon,1,1,Corde,jeu,1,1,Taille,4/4,1,1,"Profil sonore",chaud,1,1,Complexité,complexe,1,1,Puissance,puissant,1,1,Réponse,rapide,1,1,Usage,soliste,1,1,Positionnement,premium,1,1,Durabilité,élevée,1,1,Stabilité,excellente,1,1,"Temps de rodage",court,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
