ID,SKU,Name,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 7 name,Attribute 7 value(s),Attribute 7 visible,Attribute 7 global,Attribute 8 name,Attribute 8 value(s),Attribute 8 visible,Attribute 8 global,Attribute 9 name,Attribute 9 value(s),Attribute 9 visible,Attribute 9 global,Attribute 10 name,Attribute 10 value(s),Attribute 10 visible,Attribute 10 global,Attribute 11 name,Attribute 11 value(s),Attribute 11 visible,Attribute 11 global,Attribute 12 name,Attribute 12 value(s),Attribute 12 visible,Attribute 12 global,Attribute 13 name,Attribute 13 value(s),Attribute 13 visible,Attribute 13 global,Attribute 14 name,Attribute 14 value(s),Attribute 14 visible,Attribute 14 global,Attribute 15 name,Attribute 15 value(s),Attribute 15 visible,Attribute 15 global,Attribute 16 name,Attribute 16 value(s),Attribute 16 visible,Attribute 16 global,Attribute 17 name,Attribute 17 value(s),Attribute 17 visible,Attribute 17 global,Attribute 18 name,Attribute 18 value(s),Attribute 18 visible,Attribute 18 global,Attribute 19 name,Attribute 19 value(s),Attribute 19 visible,Attribute 19 global,Attribute 20 name,Attribute 20 value(s),Attribute 20 visible,Attribute 20 global
2600,CDM-BC4B12,Larsen Original & Il Cannone – 4/4,Marque,Larsen,1,1,Modèle,Original et Il Cannone,1,1,Instrument,Violoncelle,1,1,Corde,jeu,1,1,Taille,4/4,1,1,Tension,,0,1,Attache,,0,1,Âme,,0,1,Filage,,0,1,Type produit,,0,1,Type pack,,0,1,Profil sonore,équilibré,1,1,Complexité,équilibré,1,1,Puissance,modéré,1,1,Réponse,rapide,1,1,Usage,soliste,1,1,Positionnement,premium,1,1,Durabilité,élevée,1,1,Stabilité,bonne,1,1,Temps de rodage,court,1,1
2601,CDM-3496B8,Pirastro Eudoxa – Sol – Medium – 4/4,Marque,Pirastro,1,1,Modèle,Eudoxa,1,1,Instrument,Violoncelle,1,1,Corde,Sol,1,1,Taille,4/4,1,1,Tension,Medium,1,1,Attache,,0,1,Âme,boyau,1,1,Filage,argent,1,1,Type produit,,0,1,Type pack,,0,1,Profil sonore,chaud,1,1,Complexité,complexe,1,1,Puissance,modéré,1,1,Réponse,douce,1,1,Usage,soliste,1,1,Positionnement,premium,1,1,Durabilité,faible,1,1,Stabilité,moyenne,1,1,Temps de rodage,long,1,1
2602,CDM-9792DC,Optima Goldbrokat Premium – Mi – Boucle – Extra-hard – 4/4,Marque,Optima,1,1,Modèle,Goldbrokat Premium,1,1,Instrument,Violon,1,1,Corde,Mi,1,1,Taille,4/4,1,1,Tension,Heavy,1,1,Attache,Boucle,1,1,Âme,,0,1,Filage,laiton,1,1,Type produit,,0,1,Type pack,,0,1,Profil sonore,brillant,1,1,Complexité,équilibré,1,1,Puissance,modéré,1,1,Réponse,rapide,1,1,Usage,soliste,1,1,Positionnement,intermédiaire,1,1,Durabilité,élevée,1,1,Stabilité,excellente,1,1,Temps de rodage,court,1,1
2603,CDM-674065,Jargar Evoke – Sol – Medium – 4/4,Marque,Jargar,1,1,Modèle,Evoke,1,1,Instrument,Violoncelle,1,1,Corde,Sol,1,1,Taille,4/4,1,1,Tension,Medium,1,1,Attache,,0,1,Âme,,0,1,Filage,,0,1,Type produit,,0,1,Type pack,,0,1,Profil sonore,brillant,1,1,Complexité,équilibré,1,1,Puissance,puissant,1,1,Réponse,rapide,1,1,Usage,soliste,1,1,Positionnement,intermédiaire,1,1,Durabilité,élevée,1,1,Stabilité,bonne,1,1,Temps de rodage,court,1,1
2604,CDM-EF2CA3,Jargar Evoke – Do – Medium – 4/4,Marque,Jargar,1,1,Modèle,Evoke,1,1,Instrument,Violoncelle,1,1,Corde,Do,1,1,Taille,4/4,1,1,Tension,Medium,1,1,Attache,,0,1,Âme,,0,1,Filage,,0,1,Type produit,,0,1,Type pack,,0,1,Profil sonore,brillant,1,1,Complexité,équilibré,1,1,Puissance,puissant,1,1,Réponse,rapide,1,1,Usage,soliste,1,1,Positionnement,intermédiaire,1,1,Durabilité,élevée,1,1,Stabilité,bonne,1,1,Temps de rodage,court,1,1
2605,CDM-5E0473,Jargar Evoke – La – Medium – 4/4,Marque,Jargar,1,1,Modèle,Evoke,1,1,Instrument,Violoncelle,1,1,Corde,La,1,1,Taille,4/4,1,1,Tension,Medium,1,1,Attache,,0,1,Âme,,0,1,Filage,,0,1,Type produit,,0,1,Type pack,,0,1,Profil sonore,brillant,1,1,Complexité,équilibré,1,1,Puissance,puissant,1,1,Réponse,rapide,1,1,Usage,soliste,1,1,Positionnement,intermédiaire,1,1,Durabilité,élevée,1,1,Stabilité,bonne,1,1,Temps de rodage,court,1,1
2606,CDM-BD4C99,Jargar Evoke – Ré – Medium – 4/4,Marque,Jargar,1,1,Modèle,Evoke,1,1,Instrument,Violoncelle,1,1,Corde,Ré,1,1,Taille,4/4,1,1,Tension,Medium,1,1,Attache,,0,1,Âme,,0,1,Filage,,0,1,Type produit,,0,1,Type pack,,0,1,Profil sonore,brillant,1,1,Complexité,équilibré,1,1,Puissance,puissant,1,1,Réponse,rapide,1,1,Usage,soliste,1,1,Positionnement,intermédiaire,1,1,Durabilité,élevée,1,1,Stabilité,bonne,1,1,Temps de rodage,court,1,1
2608,CDM-ED5DEC,Pirastro Chorda -platejada Light – Ré – 4/4,Marque,Pirastro,1,1,Modèle,Chorda,1,1,Instrument,Violoncelle,1,1,Corde,Ré,1,1,Taille,4/4,1,1,Tension,,0,1,Attache,,0,1,Âme,boyau,1,1,Filage,,0,1,Type produit,,0,1,Type pack,,0,1,Profil sonore,chaud,1,1,Complexité,complexe,1,1,Puissance,modéré,1,1,Réponse,douce,1,1,Usage,baroque,1,1,Positionnement,premium,1,1,Durabilité,faible,1,1,Stabilité,faible,1,1,Temps de rodage,long,1,1
2610,CDM-8FD204,Pirastro Eudoxa - Light – Sol – 4/4,Marque,Pirastro,1,1,Modèle,Eudoxa,1,1,Instrument,Violoncelle,1,1,Corde,Sol,1,1,Taille,4/4,1,1,Tension,Light,1,1,Attache,,0,1,Âme,boyau,1,1,Filage,argent,1,1,Type produit,,0,1,Type pack,,0,1,Profil sonore,chaud,1,1,Complexité,complexe,1,1,Puissance,modéré,1,1,Réponse,douce,1,1,Usage,soliste,1,1,Positionnement,premium,1,1,Durabilité,faible,1,1,Stabilité,moyenne,1,1,Temps de rodage,long,1,1
2612,CDM-F4DB35,Pirastro Flexocor Deluxe – La – Medium – 4/4,Marque,Pirastro,1,1,Modèle,Flexocor Deluxe,1,1,Instrument,Violoncelle,1,1,Corde,La,1,1,Taille,4/4,1,1,Tension,Medium,1,1,Attache,,0,1,Âme,,0,1,Filage,,0,1,Type produit,,0,1,Type pack,,0,1,Profil sonore,chaud,1,1,Complexité,complexe,1,1,Puissance,modéré,1,1,Réponse,rapide,1,1,Usage,orchestre,1,1,Positionnement,premium,1,1,Durabilité,élevée,1,1,Stabilité,bonne,1,1,Temps de rodage,court,1,1
