statut,raison,set_id,set_sku,set_titre,set_prix,set_stock,instrument,modele_reconstitue,cordes,candidat_id,candidat_sku,candidat_titre,candidat_prix,candidat_stock,ecart_prix,action_recommandee
doublon_probable,"Jeu reconstitué depuis des cordes seules du même modèle avec jeu Woo non-SET correspondant.",7716,CDM-SET-VLN-04,"Équilibre simple — Jargar Classic complet",62.37,4.000000,violon,classic,"Mi:CDM-0C824B Jargar Classic – Mi – Boule – Medium – 4/4 | La:CDM-7F3B8E Jargar Classic – La – Medium – 4/4 | Ré:CDM-ED1BF6 Jargar Classic – Re – Medium – 4/4 | Sol:CDM-D5B8DC Jargar Classic – Sol – Medium – 4/4",5838,CDM-C5C95A,"Jargar Classic – Boule – Medium – 4/4",62.36,0.000000,0.01,"Masquer/dépublier le CDM-SET reconstitué et reporter ses attributs éditoriaux sur le candidat."
variante_possible,"Jeu reconstitué depuis des cordes seules du même modèle, rapproché d’une variante non-SET à préciser.",7717,CDM-SET-VLN-06,"Chaud moderne — Evah Pirazzi Gold complet",132.50,32.000000,violon,"evah pirazzi gold","Mi:CDM-4D1A22 Pirastro Evah Pirazzi Gold – Mi – boule – Medium – 4/4 | La:CDM-6EAD66 Pirastro Evah Pirazzi Gold – La – Medium – 4/4 | Ré:CDM-40DF08 Pirastro Evah Pirazzi Gold – Re – Medium – 4/4 | Sol:CDM-38EB80 Pirastro Evah Pirazzi Gold argent – Sol – Medium – 4/4",5858,CDM-208824,"Pirastro Evah Pirazzi Gold or – Boucle – Medium – 4/4",197.79,2.000000,-65.29,"Comparer les matériaux/tension/attache avant action ; préciser le titre et la description si variante réelle."
doublon_probable,"Jeu reconstitué depuis des cordes seules du même modèle avec jeu Woo non-SET correspondant.",7717,CDM-SET-VLN-06,"Chaud moderne — Evah Pirazzi Gold complet",132.50,32.000000,violon,"evah pirazzi gold","Mi:CDM-4D1A22 Pirastro Evah Pirazzi Gold – Mi – boule – Medium – 4/4 | La:CDM-6EAD66 Pirastro Evah Pirazzi Gold – La – Medium – 4/4 | Ré:CDM-40DF08 Pirastro Evah Pirazzi Gold – Re – Medium – 4/4 | Sol:CDM-38EB80 Pirastro Evah Pirazzi Gold argent – Sol – Medium – 4/4",5856,CDM-2103A1,"Pirastro Evah Pirazzi Gold – Boule – Medium – 4/4",132.5,67.000000,0.00,"Masquer/dépublier le CDM-SET reconstitué et reporter ses attributs éditoriaux sur le candidat."
variante_possible,"Jeu reconstitué depuis des cordes seules du même modèle, rapproché d’une variante non-SET à préciser.",7717,CDM-SET-VLN-06,"Chaud moderne — Evah Pirazzi Gold complet",132.50,32.000000,violon,"evah pirazzi gold","Mi:CDM-4D1A22 Pirastro Evah Pirazzi Gold – Mi – boule – Medium – 4/4 | La:CDM-6EAD66 Pirastro Evah Pirazzi Gold – La – Medium – 4/4 | Ré:CDM-40DF08 Pirastro Evah Pirazzi Gold – Re – Medium – 4/4 | Sol:CDM-38EB80 Pirastro Evah Pirazzi Gold argent – Sol – Medium – 4/4",5860,CDM-8FCD77,"Pirastro Evah Pirazzi Gold or – Boule – Medium – 4/4",197.79,6.000000,-65.29,"Comparer les matériaux/tension/attache avant action ; préciser le titre et la description si variante réelle."
doublon_probable,"Jeu reconstitué depuis des cordes seules du même modèle avec jeu Woo non-SET correspondant.",7717,CDM-SET-VLN-06,"Chaud moderne — Evah Pirazzi Gold complet",132.50,32.000000,violon,"evah pirazzi gold","Mi:CDM-4D1A22 Pirastro Evah Pirazzi Gold – Mi – boule – Medium – 4/4 | La:CDM-6EAD66 Pirastro Evah Pirazzi Gold – La – Medium – 4/4 | Ré:CDM-40DF08 Pirastro Evah Pirazzi Gold – Re – Medium – 4/4 | Sol:CDM-38EB80 Pirastro Evah Pirazzi Gold argent – Sol – Medium – 4/4",5854,CDM-D41C96,"Pirastro Evah Pirazzi Gold – Boucle – Medium – 4/4",132.5,6.000000,0.00,"Masquer/dépublier le CDM-SET reconstitué et reporter ses attributs éditoriaux sur le candidat."
variante_possible,"Jeu reconstitué depuis des cordes seules du même modèle, rapproché d’une variante non-SET à préciser.",7718,CDM-SET-VLN-07,"Brillant puissant — Evah Pirazzi complet",197.50,2.000000,violon,"evah pirazzi","Mi:CDM-89CA85 Pirastro Evah Pirazzi or 26 – Mi – boule – Medium – 4/4 | La:CDM-1080DB Pirastro Evah Pirazzi – La – Light – 4/4 | Ré:CDM-1F0456 Pirastro Evah Pirazzi – Re – Light – 4/4 | Sol:CDM-5F5447 Pirastro Evah Pirazzi Gold or – Sol – Medium – 4/4",5864,CDM-085596,"Pirastro Evah Pirazzi argenté – Boule – Light – 4/4",117.91,2.000000,79.59,"Comparer les matériaux/tension/attache avant action ; préciser le titre et la description si variante réelle."
variante_possible,"Jeu reconstitué depuis des cordes seules du même modèle, rapproché d’une variante non-SET à préciser.",7718,CDM-SET-VLN-07,"Brillant puissant — Evah Pirazzi complet",197.50,2.000000,violon,"evah pirazzi","Mi:CDM-89CA85 Pirastro Evah Pirazzi or 26 – Mi – boule – Medium – 4/4 | La:CDM-1080DB Pirastro Evah Pirazzi – La – Light – 4/4 | Ré:CDM-1F0456 Pirastro Evah Pirazzi – Re – Light – 4/4 | Sol:CDM-5F5447 Pirastro Evah Pirazzi Gold or – Sol – Medium – 4/4",5858,CDM-208824,"Pirastro Evah Pirazzi Gold or – Boucle – Medium – 4/4",197.79,2.000000,-0.29,"Comparer les matériaux/tension/attache avant action ; préciser le titre et la description si variante réelle."
variante_possible,"Jeu reconstitué depuis des cordes seules du même modèle, rapproché d’une variante non-SET à préciser.",7718,CDM-SET-VLN-07,"Brillant puissant — Evah Pirazzi complet",197.50,2.000000,violon,"evah pirazzi","Mi:CDM-89CA85 Pirastro Evah Pirazzi or 26 – Mi – boule – Medium – 4/4 | La:CDM-1080DB Pirastro Evah Pirazzi – La – Light – 4/4 | Ré:CDM-1F0456 Pirastro Evah Pirazzi – Re – Light – 4/4 | Sol:CDM-5F5447 Pirastro Evah Pirazzi Gold or – Sol – Medium – 4/4",5856,CDM-2103A1,"Pirastro Evah Pirazzi Gold – Boule – Medium – 4/4",132.5,67.000000,65.00,"Comparer les matériaux/tension/attache avant action ; préciser le titre et la description si variante réelle."
variante_possible,"Jeu reconstitué depuis des cordes seules du même modèle, rapproché d’une variante non-SET à préciser.",7718,CDM-SET-VLN-07,"Brillant puissant — Evah Pirazzi complet",197.50,2.000000,violon,"evah pirazzi","Mi:CDM-89CA85 Pirastro Evah Pirazzi or 26 – Mi – boule – Medium – 4/4 | La:CDM-1080DB Pirastro Evah Pirazzi – La – Light – 4/4 | Ré:CDM-1F0456 Pirastro Evah Pirazzi – Re – Light – 4/4 | Sol:CDM-5F5447 Pirastro Evah Pirazzi Gold or – Sol – Medium – 4/4",5862,CDM-3E24FA,"Pirastro Evah Pirazzi or – Boule – Medium – 4/4",125.72,22.000000,71.78,"Comparer les matériaux/tension/attache avant action ; préciser le titre et la description si variante réelle."
variante_possible,"Jeu reconstitué depuis des cordes seules du même modèle, rapproché d’une variante non-SET à préciser.",7718,CDM-SET-VLN-07,"Brillant puissant — Evah Pirazzi complet",197.50,2.000000,violon,"evah pirazzi","Mi:CDM-89CA85 Pirastro Evah Pirazzi or 26 – Mi – boule – Medium – 4/4 | La:CDM-1080DB Pirastro Evah Pirazzi – La – Light – 4/4 | Ré:CDM-1F0456 Pirastro Evah Pirazzi – Re – Light – 4/4 | Sol:CDM-5F5447 Pirastro Evah Pirazzi Gold or – Sol – Medium – 4/4",5860,CDM-8FCD77,"Pirastro Evah Pirazzi Gold or – Boule – Medium – 4/4",197.79,6.000000,-0.29,"Comparer les matériaux/tension/attache avant action ; préciser le titre et la description si variante réelle."
