statut,famille,id,sku,titre_actuel,prix,stock,instrument,marque,tension,taille,ame,filage,attache,signature_technique,titre_propose,phrase_description_proposee,raison
ok,alto|optima|protos,5677,CDM-75740C,"Optima Protos – Medium",39.54,14.000000,Alto,Optima,Moyenne,,,,,"tension Moyenne","Optima Protos – Medium","Version par défaut du jeu Optima Protos – Medium. Composition technique : tension Moyenne.","Titre et description déjà suffisamment distinctifs selon les attributs disponibles."
prix_a_controler,alto|optima|protos,5678,CDM-9EA3D1,"Optima Protos – Medium",39.54,12.000000,Alto,Optima,Moyenne,,,,,"tension Moyenne","Optima Protos – Medium","Aucune différence technique suffisante n’est lisible dans les attributs actuels pour expliquer cet écart de prix.","Prix différent sans attribut distinctif exploitable : contrôler le tarif, les variantes ou les attributs manquants."
prix_a_controler,alto|optima|protos,5679,CDM-BF72B0,"Optima Protos – Medium",39.54,12.000000,Alto,Optima,Moyenne,,,,,"tension Moyenne","Optima Protos – Medium","Aucune différence technique suffisante n’est lisible dans les attributs actuels pour expliquer cet écart de prix.","Prix différent sans attribut distinctif exploitable : contrôler le tarif, les variantes ou les attributs manquants."
prix_a_controler,alto|optima|protos,5681,CDM-4BCBFC,"Optima Protos – Medium",39.54,1.000000,Alto,Optima,Moyenne,,,,,"tension Moyenne","Optima Protos – Medium","Aucune différence technique suffisante n’est lisible dans les attributs actuels pour expliquer cet écart de prix.","Prix différent sans attribut distinctif exploitable : contrôler le tarif, les variantes ou les attributs manquants."
prix_a_controler,alto|optima|protos,5682,CDM-B6330C,"Optima Protos – Medium",39.54,4.000000,Alto,Optima,Moyenne,,,,,"tension Moyenne","Optima Protos – Medium","Aucune différence technique suffisante n’est lisible dans les attributs actuels pour expliquer cet écart de prix.","Prix différent sans attribut distinctif exploitable : contrôler le tarif, les variantes ou les attributs manquants."
prix_a_controler,alto|optima|protos,5680,CDM-0C2389,"Optima Protos – Medium",40.6,15.000000,Alto,Optima,Moyenne,,,,,"tension Moyenne","Optima Protos – Medium","Aucune différence technique suffisante n’est lisible dans les attributs actuels pour expliquer cet écart de prix.","Prix différent sans attribut distinctif exploitable : contrôler le tarif, les variantes ou les attributs manquants."
ok,"alto|pirastro|evah pirazzi gold",5690,CDM-14BFFF,"Pirastro Evah Pirazzi Gold",183.64,26.000000,Alto,Pirastro,,,,,,,"Pirastro Evah Pirazzi Gold",,"Titre et description déjà suffisamment distinctifs selon les attributs disponibles."
a_rediger,"alto|pirastro|evah pirazzi gold",5692,CDM-6F6A0F,"Pirastro Evah Pirazzi Gold",189.09,1.000000,Alto,Pirastro,,,,tungstène,,"filage tungstène","Pirastro Evah Pirazzi Gold - tungstène","Cette variante du jeu Pirastro Evah Pirazzi Gold présente la configuration suivante : filage tungstène.","Variante de prix : rendre la différence visible dans le titre si absente, et l’expliquer dans la description."
ok,alto|thomastik|dominant,5703,CDM-CB7482,"Thomastik Dominant – Medium",125.7,0.000000,Alto,Thomastik,Moyenne,,,,,"tension Moyenne","Thomastik Dominant – Medium","Version par défaut du jeu Thomastik Dominant – Medium. Composition technique : tension Moyenne.","Titre et description déjà suffisamment distinctifs selon les attributs disponibles."
prix_a_controler,alto|thomastik|dominant,5705,CDM-EDB7CD,"Thomastik Dominant – Medium",126.25,0.000000,Alto,Thomastik,Moyenne,,,,,"tension Moyenne","Thomastik Dominant – Medium","Aucune différence technique suffisante n’est lisible dans les attributs actuels pour expliquer cet écart de prix.","Prix différent sans attribut distinctif exploitable : contrôler le tarif, les variantes ou les attributs manquants."
